s=1465130 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-70 btn=UP
[alive] ms=1470131 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-72 btn=UP
[alive] ms=1475133 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-71 btn=UP
[alive] ms=1480134 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-71 btn=UP
[alive] ms=1485135 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-69 btn=UP
[alive] ms=1490144 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-71 btn=UP
[heartbeat] status=200 (fw=1.3.3 bedtime=0 paused=0)
[alive] ms=1495152 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-73 btn=UP
[alive] ms=1500160 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-70 btn=UP
[alive] ms=1505166 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-74 btn=UP
[alive] ms=1510171 heap=101396 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-72 btn=UP
[alive] ms=1515173 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-70 btn=UP
[alive] ms=1520177 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-71 btn=UP
[alive] ms=1525178 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-72 btn=UP
[alive] ms=1530181 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-71 btn=UP
[alive] ms=1535185 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-72 btn=UP
[alive] ms=1540195 heap=101396 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-72 btn=UP
[alive] ms=1545196 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-70 btn=UP
[alive] ms=1550205 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-73 btn=UP
[heartbeat] status=200 (fw=1.3.3 bedtime=0 paused=0)
[alive] ms=1555211 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-71 btn=UP
[alive] ms=1560219 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-72 btn=UP
[alive] ms=1565222 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-72 btn=UP
[alive] ms=1570231 heap=101396 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-71 btn=UP
[alive] ms=1575234 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-71 btn=UP
[alive] ms=1580240 heap=101396 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-72 btn=UP
